siret,regionCRPInstructeur,typeAide,dateDecision,dureeAide,montant
79345134500011,Hauts-de-France,Prêt à taux bonifié,22 janvier 2021,6 ans,247000
38932334600012,Auvergne-Rhône-Alpes,Prêt à taux bonifié,27 janvier 2021,6 ans,1600000
30582340300012,Auvergne-Rhône-Alpes,Prêt à taux bonifié,08 mars 2021,6 ans,400000
78222801900033,Nouvelle-Aquitaine,Avance remboursable,12 mars 2021,10 ans (avance remboursable),300000
78913631400182,Île-de-France,Prêt à taux bonifié,04 mars 2021,6 ans,790000
41956490100025,Nouvelle-Aquitaine,Avance remboursable,02 avril 2021,10 ans (avance remboursable),150000
85134878900021,Provence-Alpes-Côte d'Azur,Avance remboursable,27 mai 2021,10 ans (avance remboursable),400000
44284036900015,Nouvelle-Aquitaine,Prêt à taux bonifié,21 mai 2021,6 ans,625000
40889424400016,Nouvelle-Aquitaine,Prêt à taux bonifié,03 mars 2021,6 ans,500000
53881284300026,Nouvelle-Aquitaine,Prêt à taux bonifié,09 juin 2021,6 ans,1000000
39046731400071,Grand Est,Avance remboursable,19 mai 2021,10 ans (avance remboursable),100000
39182737500067,Île-de-France,Prêt à taux bonifié,04 mars 2021,6 ans,800000
53702003400097,Bourgogne-Franche-Comté,Prêt à taux bonifié,16 mars 2021,6 ans,500000
31860670400019,Bretagne,Prêt à taux bonifié,26 mars 2021,6 ans,1000000
42879466300032,Pays de la Loire,Avance remboursable,07 mai 2021,10 ans (avance remboursable),310000
83102291800013,Nouvelle-Aquitaine,Prêt à taux bonifié,26 mars 2021,6 ans,1200000
38817910300048,Bourgogne-Franche-Comté,Prêt à taux bonifié,10 juin 2021,6 ans,1050000
79053636100039,Nouvelle-Aquitaine,Prêt à taux bonifié,26 mars 2021,6 ans,400000
81408561900017,Nouvelle-Aquitaine,Prêt à taux bonifié,27 mai 2021,6 ans,600000
41487012100046,Normandie,Prêt à taux bonifié,21 juin 2021,6 ans,3000000
41925748000022,Bretagne,Avance remboursable,26 avril 2021,10 ans (avance remboursable),800000
38845635200011,Bourgogne-Franche-Comté,Avance remboursable,10 mai 2021,10 ans (avance remboursable),250000
87944006300029,Bretagne,Avance remboursable,28 mai 2021,10 ans (avance remboursable),500000
38411725500032,Hauts-de-France,Prêt à taux bonifié,22 juin 2021,6 ans,800000
31884526000021,Pays de la Loire,Avance remboursable,24 juin 2021,10 ans (avance remboursable),800000
53406047000018,Auvergne-Rhône-Alpes,Prêt à taux bonifié,08 juin 2021,6 ans,1400000
39876182500056,Nouvelle-Aquitaine,Prêt à taux bonifié,14 juin 2021,6 ans,600000
41878202501359,Île-de-France,Prêt à taux bonifié,20 mai 2021,3 ans,1500000
32800841200079,La Réunion,Prêt à taux bonifié,07 juin 2021,6 ans,2350000
64203655200064,Île-de-France,Prêt à taux bonifié,31 mai 2021,6 ans,2300000
84439918800011,Hauts-de-France,Avance remboursable,29 juin 2021,10 ans (avance remboursable),400000
